ts,symbol,price,reason_event,block_macdh_leq0,block_not_in_lane,block_edge,block_adx_gray,rsi,macdh,adx,rvol,atr_pct,ema_fast,ema_slow,mfe_1h,mfe_6h,mfe_24h
2025-10-23T17:00:00Z,BTC/USDT,109947.42,ADX_gray_push,0,0,1,1,57.00817957445019,48.6213893662306,19.613527922109373,1.385389716719829,0.003960350655044665,109676.34344945362,109343.48261087795,1.224,1.224,1.962
2025-10-23T16:45:00Z,BTC/USDT,110263.74,ADX_gray_push,0,0,1,1,64.43321984626874,62.83523928586297,18.956346064516918,1.4305177688996107,0.00381194057325616,109647.8090757119,109318.8321051995,0.934,0.934,1.67
2025-10-23T16:15:00Z,BTC/USDT,109820.09,ADX_gray_push,0,0,1,1,57.19328717629909,56.64000296343727,17.70808391120746,0.6180657382150441,0.0036850636440111098,109556.10837226856,109257.49155586168,0.689,1.342,2.081
2025-10-23T16:00:00Z,BTC/USDT,110018.04,ADX_gray_push,0,0,1,1,62.06827394669206,69.09456610687081,17.270723554905395,0.806818398083894,0.0037311687139074145,109528.32083250736,109234.52835406011,0.508,1.159,1.897
2025-10-23T13:15:00Z,BTC/USDT,109140.88,ADX_gray_push,1,1,1,1,48.16262791236716,-65.16376483707319,21.676185009931707,1.007933018119385,0.002805180543141418,109239.19421673514,109018.10467914712,0.466,1.972,2.716
2025-10-23T04:30:00Z,SOL/USDT,184.14,ADX_gray_push,0,0,1,1,68.85600257478109,0.2400735773702637,21.983328790461513,1.1239260189663334,0.0047935008427297,182.1369468244999,181.90075368743052,0.261,2.824,5.68
2025-10-23T04:15:00Z,SOL/USDT,183.62,ADX_gray_push,0,0,1,1,66.1198898225762,0.2140262172083125,20.608149985429808,1.0396556308801947,0.0047956286949316146,181.9260991218157,181.80935587875422,0.545,3.115,5.571
2025-10-23T03:45:00Z,SOL/USDT,182.86,ADX_gray_push,0,1,1,1,61.77207883665259,0.2407774991204924,19.166975900156498,0.6350995940320668,0.004859422147535357,181.6380878468718,181.6924092630736,0.777,3.292,6.01
2025-10-23T03:30:00Z,SOL/USDT,182.68,ADX_gray_push,0,1,1,1,60.65767431154688,0.27220725084371455,19.02796838653569,1.301503606379865,0.005006785751703865,181.50946551496358,181.64475249830113,0.876,3.394,6.115
2025-10-23T03:15:00Z,SOL/USDT,183.2,ADX_gray_push,0,1,1,1,65.80352909419462,0.3133828998350652,18.408472476747505,0.9829837224791576,0.005074300762385652,181.38625135864396,181.6024974982318,0.426,3.1,5.813
2025-10-23T01:30:00Z,BTC/USDT,108232.78,ADX_gray_push,0,1,1,1,59.464738231828456,118.59364091622611,20.070180843767616,0.7626689959111186,0.0036136446239320172,107768.82227629244,107853.35709022802,0.148,1.908,2.828
2025-10-23T01:15:00Z,BTC/USDT,108188.76,ADX_gray_push,0,1,1,1,58.788318186648624,116.70756763023633,19.528086975369742,1.7773581122234896,0.0037569360256043665,107719.98462116533,107837.87044084957,0.288,1.95,2.87
2025-10-23T01:00:00Z,BTC/USDT,108311.35,ADX_gray_push,0,1,1,1,61.4395763772282,109.25189811071999,18.944293578633566,1.3736121393389955,0.003709033476982014,107670.63984444589,107823.5484180271,0.174,1.834,2.753
2025-10-22T21:30:00Z,SOL/USDT,177.89,RSI_rebound,1,1,0,0,30.434939809806778,-0.22853124441618133,33.316267334999665,0.9285859208323477,0.00903984759671967,180.6384088781102,182.53197906377025,0.944,3.097,8.747
2025-10-22T21:30:00Z,ETH/USDT,3742.5,RSI_rebound,1,1,1,0,33.85441364426579,-7.202042811056451,30.714932567375943,0.5884476596694603,0.007684964109123446,3790.5652586686765,3818.0061436131045,0.535,2.496,5.14
